"official_name_en","ISO3166_1_Alpha_3","ISO3166_1_numeric"
"Afghanistan","AFG","004"
"Albania","ALB","008"
"Antarctica","ATA","010"
"Algeria","DZA","012"
"American Samoa","ASM","016"
"Andorra","AND","020"
"Angola","AGO","024"
"Antigua and Barbuda","ATG","028"
"Azerbaijan","AZE","031"
"Argentina","ARG","032"
"Australia","AUS","036"
"Austria","AUT","040"
"Bahamas","BHS","044"
"Bahrain","BHR","048"
"Bangladesh","BGD","050"
"Armenia","ARM","051"
"Barbados","BRB","052"
"Belgium","BEL","056"
"Bermuda","BMU","060"
"Bhutan","BTN","064"
"Bolivia (Plurinational State of)","BOL","068"
"Bosnia and Herzegovina","BIH","070"
"Botswana","BWA","072"
"Bouvet Island","BVT","074"
"Brazil","BRA","076"
"Belize","BLZ","084"
"British Indian Ocean Territory","IOT","086"
"Solomon Islands","SLB","090"
"British Virgin Islands","VGB","092"
"Brunei Darussalam","BRN","096"
"Bulgaria","BGR","100"
"Myanmar","MMR","104"
"Burundi","BDI","108"
"Belarus","BLR","112"
"Cambodia","KHM","116"
"Cameroon","CMR","120"
"Canada","CAN","124"
"Cabo Verde","CPV","132"
"Cayman Islands","CYM","136"
"Central African Republic","CAF","140"
"Sri Lanka","LKA","144"
"Chad","TCD","148"
"Chile","CHL","152"
"China","CHN","156"
NA,"TWN","158"
"Christmas Island","CXR","162"
"Cocos (Keeling) Islands","CCK","166"
"Colombia","COL","170"
"Comoros","COM","174"
"Mayotte","MYT","175"
"Congo","COG","178"
"Democratic Republic of the Congo","COD","180"
"Cook Islands","COK","184"
"Costa Rica","CRI","188"
"Croatia","HRV","191"
"Cuba","CUB","192"
"Cyprus","CYP","196"
"Czechia","CZE","203"
"Benin","BEN","204"
"Denmark","DNK","208"
"Dominica","DMA","212"
"Dominican Republic","DOM","214"
"Ecuador","ECU","218"
"El Salvador","SLV","222"
"Equatorial Guinea","GNQ","226"
"Ethiopia","ETH","231"
"Eritrea","ERI","232"
"Estonia","EST","233"
"Faroe Islands","FRO","234"
"Falkland Islands (Malvinas)","FLK","238"
"South Georgia and the South Sandwich Islands","SGS","239"
"Fiji","FJI","242"
"Finland","FIN","246"
"Åland Islands","ALA","248"
"France","FRA","250"
"French Guiana","GUF","254"
"French Polynesia","PYF","258"
"French Southern Territories","ATF","260"
"Djibouti","DJI","262"
"Gabon","GAB","266"
"Georgia","GEO","268"
"Gambia","GMB","270"
"State of Palestine","PSE","275"
"Germany","DEU","276"
"Ghana","GHA","288"
"Gibraltar","GIB","292"
"Kiribati","KIR","296"
"Greece","GRC","300"
"Greenland","GRL","304"
"Grenada","GRD","308"
"Guadeloupe","GLP","312"
"Guam","GUM","316"
"Guatemala","GTM","320"
"Guinea","GIN","324"
"Guyana","GUY","328"
"Haiti","HTI","332"
"Heard Island and McDonald Islands","HMD","334"
"Holy See","VAT","336"
"Honduras","HND","340"
"China, Hong Kong Special Administrative Region","HKG","344"
"Hungary","HUN","348"
"Iceland","ISL","352"
"India","IND","356"
"Indonesia","IDN","360"
"Iran (Islamic Republic of)","IRN","364"
"Iraq","IRQ","368"
"Ireland","IRL","372"
"Israel","ISR","376"
"Italy","ITA","380"
"Côte d'Ivoire","CIV","384"
"Jamaica","JAM","388"
"Japan","JPN","392"
"Kazakhstan","KAZ","398"
"Jordan","JOR","400"
"Kenya","KEN","404"
"Democratic People's Republic of Korea","PRK","408"
"Republic of Korea","KOR","410"
"Kuwait","KWT","414"
"Kyrgyzstan","KGZ","417"
"Lao People's Democratic Republic","LAO","418"
"Lebanon","LBN","422"
"Lesotho","LSO","426"
"Latvia","LVA","428"
"Liberia","LBR","430"
"Libya","LBY","434"
"Liechtenstein","LIE","438"
"Lithuania","LTU","440"
"Luxembourg","LUX","442"
"China, Macao Special Administrative Region","MAC","446"
"Madagascar","MDG","450"
"Malawi","MWI","454"
"Malaysia","MYS","458"
"Maldives","MDV","462"
"Mali","MLI","466"
"Malta","MLT","470"
"Martinique","MTQ","474"
"Mauritania","MRT","478"
"Mauritius","MUS","480"
